Unnamed: 0,DE,EN,TRANSLATION,BLEURT_Score,Normalized_BLEURT_Score,Percentage_BLEURT_Score,UK
0.0,Deine Habgier wird noch dein Tod sein.,"It's greed that it's gonna be the death of you, 'cause you...",Your greed will still be your death.,-1.0157898664474487,0.22409675104470103,22.409675104470104,
1.0,Sagen Sie einfach stopp.,Just say when.,Just say stop.,-0.29906052350997925,0.5070555911978172,50.70555911978172,
2.0,- Warte.,- Wait.,- Wait.,0.8953431248664856,0.9785963120424785,97.85963120424785,
3.0,Ich will nicht hier sein.,I don't wanna be here.,I don't want to be here.,0.46330851316452026,0.8080326064570977,80.80326064570977,
4.0,"Also, 90 Prozent meiner fotografischen Arbeit ist genau genommen gar nicht fotografisch.","Okay, so 90 percent of my photographic process is, in fact, not photographic.","So, 90 percent of my photographic work is actually not photographic.",0.47049760818481445,0.8108708019471217,81.08708019471217,
5.0,Wie bezaubernd.,So lovely.,How charming.,0.014954164624214172,0.6310260032104391,63.10260032104391,
6.0,Muss ich?,Do I have to?,Do I have to?,0.9137413501739502,0.9858597798287139,98.58597798287138,
7.0,Nehmen Sie Platz.,Please sit.,Sit down.,-0.9178889989852905,0.26274720700837306,26.274720700837307,
8.0,"Nein, ehrlich gesagt finde ich, dass du herausfinden solltest, was mit deinem Dad los ist.","No, honestly, I think that you should find out What's going on with your dad.","No, actually, I think you should find out what's going on with your dad.",0.7115128636360168,0.9060216393080933,90.60216393080933,
9.0,Wie halten Sie sich?,How you holding up?,How are you holding up?,0.6500219106674194,0.8817455176404723,88.17455176404722,
10.0,- Fangen wir an.,- Let's go.,- Let's get started.,0.5966026186943054,0.8606560212392739,86.06560212392739,
11.0,"Ich darf wirklich aufstehen, Herr Hofrat?","I am really allowed to get up, Doctor?","I can really stand up, Mr. Hofrat?",-0.9637401103973389,0.24464556594577683,24.464556594577683,
12.0,- Was machst du damit?,- What will you do with it?,- What are you doing with it?,0.38913312554359436,0.7787487744835041,77.8748774483504,
13.0,- Können wir reden?,- Can we talk?,- Can we talk?,0.9194382429122925,0.988108866150632,98.8108866150632,
14.0,Runter!,Get down!,Down!,-0.46125662326812744,0.4430219071898097,44.302190718980974,
15.0,"Und wenn es nur eine Störung war, weil Pamela Raker eine Republikanerin ist?",And if the disruption was merely because Pamela Raker was a Republican?,What if it was just a disturbance because Pamela Raker is a Republican?,0.5400813221931458,0.8383418790048128,83.83418790048128,
16.0,- Gern.,- Sure.,- Sure.,0.8976938724517822,0.979524367823622,97.9524367823622,
17.0,in Erwägung nachstehenden Grundes:,Whereas:,Whereas:,0.8346894979476929,0.9546507598014023,95.46507598014024,
18.0,Wir haben ferngesehen.,We were watching the tv.,We watched TV.,0.4420328736305237,0.7996331592384553,79.96331592384553,
19.0,Na schön.,Oh.,All right.,-0.9620206356048584,0.24532440042876136,24.532440042876136,
20.0,Lebt wohl.,Goodbye.,Goodbye.,0.914598286151886,0.9861980910933377,98.61980910933377,
21.0,Werte,Values,Values,0.8473739624023438,0.9596584818730862,95.96584818730862,
22.0,Oder was meinst du?,What do you say Marylin?,Or what do you think?,-0.977470874786377,0.23922477327944824,23.922477327944826,
23.0,"Eins, zwei, eins, zwei.","Slow, slow, quick, quick.","One, two, one, two.",-1.0225660800933838,0.22142155771994446,22.142155771994446,
24.0,"KOGENATE Bayer wurde in klinischen Studien zur Behandlung von Blutungen bei 37 nicht vorbehandelten (PUPs) und 23 minimal vorbehandelten Hämophilie-Patienten (MTPs, Patienten mit 4 oder weniger Expositionstagen) eingesetzt.","In clinical studies, KOGENATE Bayer has been used in the treatment of bleeding episodes in 37 previously untreated patients (PUPs) and 23 minimally treated pediatric patients (MTPs, defined as having equal to or less than 4 exposure days).","KOGENATE Bayer was used in clinical trials to treat bleeding in 37 previously untreated (PUPs) and 23 minimally previously treated haemophilia patients (MTPs, patients with 4 or less exposure days).",0.27874964475631714,0.7351702856112315,73.51702856112315,
25.0,Tagungswoche,The Week,The Week,0.902651309967041,0.9814815233151218,98.14815233151218,
26.0,Deine Zeit wird kommen.,Your time will come.,Your time will come.,0.9122378826141357,0.9852662232217115,98.52662232217115,
27.0,Eine große Geste. - Worum geht es dir?,What rules the life you lead?,- What are you talking about?,-1.1314741373062134,0.17842555392027856,17.842555392027855,
28.0,"Wo wollen Sie denn hin, Stone?",Where the hell do you think you're going?,"Where are you going, Stone?",-1.0005598068237305,0.2301094531184406,23.01094531184406,
29.0,Keine Bewegung.,-hold it! hold it! -Jesus.,Don't move.,-1.4197256565093994,0.06462622876383224,6.462622876383224,
30.0,"Ja, natürlich.","Yes, sir. I'm very sorry.","Yes, of course.",-1.0834784507751465,0.19737385557278683,19.73738555727868,
31.0,Die Autoschlüssel.,Give me your car keys.,The car keys.,-0.806418240070343,0.3067549443284188,30.675494432841884,
32.0,Wir könnten überall in der Galaxie herauskommen.,We could be thrown anywhere in the galaxy.,We could get out anywhere in the galaxy.,0.5856850743293762,0.8563458646630696,85.63458646630696,
33.0,"Pumbaa, du bist 'n Schwein.","Pumbaa, you are a pig.","Pumbaa, you're a pig.",0.7741656303405762,0.9307564354676146,93.07564354676146,
34.0,Übrigens:,Extra tip:,By the way:,-1.2691513299942017,0.12407173243605195,12.407173243605195,
35.0,Heiß!,Hot!,Hot!,0.9176377058029175,0.9873980289327314,98.73980289327314,
36.0,Aber jetzt nicht mehr.,But not any more,But not anymore.,0.32278671860694885,0.7525557595886783,75.25557595886782,
37.0,- Das stimmt.,- That's true.,- That's right.,0.3221532702445984,0.7523056793935896,75.23056793935896,
38.0,"Pink für dich, Blau für Luke.","Pink for you, blue for Luke.","Pink for you, blue for Luke.",0.8988449573516846,0.9799788066594303,97.99788066594303,
