Unnamed: 0,UK,EN,TRANSLATION,BLEURT_Score,Normalized_BLEURT_Score,Percentage_BLEURT_Score
0.0,Давайте щось спробуємо!,Let's try something.,Let's try something!,0.8191477060317993,0.9390902297592093,93.90902297592093
1.0,Спробуймо щось!,Let's try something.,Let's try something!,0.8191477060317993,0.9390902297592093,93.90902297592093
2.0,Маю піти спати.,I have to go to sleep.,I have to go to bed.,0.9067158102989197,0.9818478024370916,98.18478024370916
3.0,Я маю йти спати.,I have to go to sleep.,I have to go to bed.,0.9067158102989197,0.9818478024370916,98.18478024370916
4.0,Мені час йти спати.,I have to go to sleep.,I have to go to bed.,0.9067158102989197,0.9818478024370916,98.18478024370916
5.0,"Сьогодні 18 червня, і це день народження Мюріел!",Today is June 18th and it is Muiriel's birthday!,"It's June 18th, and it's Muriel's birthday!",-0.5826261639595032,0.2546349863148899,25.46349863148899
6.0,Мюріел зараз двадцять.,Muiriel is 20 now.,Muiriel is twenty now.,0.9335317611694336,0.9949414394167725,99.49414394167725
7.0,Мюріел зараз двадцять років.,Muiriel is 20 now.,Muiriel is 20 years old now.,0.6397749781608582,0.8515064855116878,85.15064855116879
8.0,Мурієль зараз 20.,Muiriel is 20 now.,Muiriel is 20.,0.5952755808830261,0.8297784119265289,82.97784119265289
9.0,"Пароль - ""Muiriel"".","The password is ""Muiriel"".","The password is ""Muiriel.""",0.9319601655006409,0.9941740639369555,99.41740639369556
10.0,Пароль — «Muiriel».,"The password is ""Muiriel"".",The password is ʽMuiriel-i-i-i-i-i-i-i-i-i-i-i-i-i-i.,-1.0911929607391357,0.006313043561269491,0.6313043561269491
11.0,Пароль — «Мюріель».,"The password is ""Muiriel"".",The password is ʽMuriel.......,-0.8256173133850098,0.13598777088642564,13.598777088642564
12.0,Я скоро повернуся.,I will be back soon.,I'll be back soon.,0.8869132995605469,0.9721786734866955,97.21786734866956
13.0,Незабаром повернуся.,I will be back soon.,I'll be back soon.,0.8869132995605469,0.9721786734866955,97.21786734866956
14.0,Я хутко повернусь.,I will be back soon.,I'll be right back.,0.5494895577430725,0.8074221073288418,80.74221073288417
