Unnamed: 0,DE,EN,TRANSLATION,BLEURT_Score,Normalized_BLEURT_Score,Percentage_BLEURT_Score,UK
0.0,Deine Habgier wird noch dein Tod sein.,"It's greed that it's gonna be the death of you, 'cause you...","Es ist Gier, dass es der Tod von dir sein wird, weil du...",-0.6649712920188904,0.3598352540925886,35.98352540925886,
1.0,Sagen Sie einfach stopp.,Just say when.,Sag einfach wann.,-0.5500046014785767,0.4058218250538062,40.58218250538062,
2.0,- Warte.,- Wait.,- Warten Sie.,-0.06864391267299652,0.5983656598781741,59.836565987817416,
3.0,Ich will nicht hier sein.,I don't wanna be here.,Ich will nicht hier sein.,0.9315845966339111,0.9984561478664828,99.84561478664828,
4.0,"Also, 90 Prozent meiner fotografischen Arbeit ist genau genommen gar nicht fotografisch.","Okay, so 90 percent of my photographic process is, in fact, not photographic.","Okay, also sind 90 Prozent meines fotografischen Prozesses tatsächlich nicht fotografisch.",-0.029232576489448547,0.61413015826952,61.413015826952,
5.0,Wie bezaubernd.,So lovely.,So schön.,-1.3512823581695557,0.08531145596743171,8.53114559674317,
6.0,Muss ich?,Do I have to?,Muss ich das tun?,0.7676670551300049,0.9328892813355683,93.28892813355682,
7.0,Nehmen Sie Platz.,Please sit.,Bitte sitzen.,-1.3919386863708496,0.0690489619088091,6.90489619088091,
8.0,"Nein, ehrlich gesagt finde ich, dass du herausfinden solltest, was mit deinem Dad los ist.","No, honestly, I think that you should find out What's going on with your dad.","Nein, ehrlich, ich denke, du solltest herausfinden, was mit deinem Vater los ist.",0.08032973110675812,0.6579549810009437,65.79549810009438,
9.0,Wie halten Sie sich?,How you holding up?,Wie hältst du dich?,-0.18331225216388702,0.5524984290635779,55.24984290635779,
10.0,- Fangen wir an.,- Let's go.,- Lass uns gehen.,-1.2848080396652222,0.11190112251024815,11.190112251024816,
11.0,"Ich darf wirklich aufstehen, Herr Hofrat?","I am really allowed to get up, Doctor?","Ich bin wirklich erlaubt, aufzustehen, Doktor?",-0.1585339456796646,0.5624097289721016,56.24097289721016,
12.0,- Was machst du damit?,- What will you do with it?,- Was wirst du damit machen?,0.18850959837436676,0.7012268288665874,70.12268288665874,
13.0,- Können wir reden?,- Can we talk?,- Können wir reden?,0.920654296875,0.9940840379698838,99.40840379698838,
14.0,Runter!,Get down!,Kommt runter!,-0.03541262447834015,0.6116581447319532,61.165814473195326,
15.0,"Und wenn es nur eine Störung war, weil Pamela Raker eine Republikanerin ist?",And if the disruption was merely because Pamela Raker was a Republican?,"Und wenn die Störung nur daran lag, dass Pamela Raker eine Republikanerin war?",0.3176233172416687,0.7528721982066386,75.28721982066386,
16.0,- Gern.,- Sure.,- Sicher.,-1.1061164140701294,0.18337760915159038,18.337760915159038,
17.0,in Erwägung nachstehenden Grundes:,Whereas:,In Erwägung dessen:,-0.44263553619384766,0.44876935286860764,44.876935286860764,
18.0,Wir haben ferngesehen.,We were watching the tv.,Wir schauten uns den Fernseher an.,-0.48684364557266235,0.43108614959072206,43.108614959072206,
19.0,Na schön.,Oh.,Ach ja.,-1.0143628120422363,0.22007896596000834,22.007896596000833,
20.0,Lebt wohl.,Goodbye.,Auf Wiedersehen.,-1.148685336112976,0.16635007930737464,16.635007930737462,
21.0,Werte,Values,Unsere Werte,-0.5841272473335266,0.39217279795197,39.217279795197,
22.0,Oder was meinst du?,What do you say Marylin?,Was sagen Sie dazu Marylin?,-1.087507724761963,0.19082106783813207,19.082106783813206,
23.0,"Eins, zwei, eins, zwei.","Slow, slow, quick, quick.","Langsam, langsam, schnell, schnell.",-1.1405730247497559,0.16959499642563686,16.959499642563685,
24.0,"KOGENATE Bayer wurde in klinischen Studien zur Behandlung von Blutungen bei 37 nicht vorbehandelten (PUPs) und 23 minimal vorbehandelten Hämophilie-Patienten (MTPs, Patienten mit 4 oder weniger Expositionstagen) eingesetzt.","In clinical studies, KOGENATE Bayer has been used in the treatment of bleeding episodes in 37 previously untreated patients (PUPs) and 23 minimally treated pediatric patients (MTPs, defined as having equal to or less than 4 exposure days).","In klinischen Studien wurde KOGENATE Bayer zur Behandlung von Blutungsepisoden bei 37 zuvor unbehandelten Patienten (PUPs) und 23 minimal behandelten pädiatrischen Patienten (MTPs, definiert als mit gleich oder weniger als 4 Expositionstagen) angewendet.",0.3017456829547882,0.7465211590282615,74.65211590282615,
25.0,Tagungswoche,The Week,Die Woche beginnt,-1.406390905380249,0.06326808753642074,6.326808753642074,
26.0,Deine Zeit wird kommen.,Your time will come.,Deine Zeit wird kommen.,0.923144519329071,0.9950801246716506,99.50801246716506,
27.0,Eine große Geste. - Worum geht es dir?,What rules the life you lead?,"Was bestimmt das Leben, das du führst?",-0.8225947022438049,0.29678603431083456,29.678603431083456,
28.0,"Wo wollen Sie denn hin, Stone?",Where the hell do you think you're going?,"Wo zum Teufel denkst du, dass du hingehst?",-0.7583367824554443,0.3224891433964308,32.24891433964308,
29.0,Keine Bewegung.,-hold it! hold it! -Jesus.,Halt es! Halt es! -Jesus.,-1.1945366859436035,0.1480095813531921,14.80095813531921,
30.0,"Ja, natürlich.","Yes, sir. I'm very sorry.","Ja, Sir. Es tut mir sehr leid.",-0.570064902305603,0.39779772308870753,39.779772308870754,
31.0,Die Autoschlüssel.,Give me your car keys.,Gib mir deine Autoschlüssel.,-0.07823078334331512,0.5945309203870688,59.45309203870688,
32.0,Wir könnten überall in der Galaxie herauskommen.,We could be thrown anywhere in the galaxy.,Wir könnten überall in der Galaxie hingeworfen werden.,0.1695248931646347,0.6936329641636715,69.36329641636715,
33.0,"Pumbaa, du bist 'n Schwein.","Pumbaa, you are a pig.","Pumbaa, du bist ein Schwein.",0.40896594524383545,0.7894091657810232,78.94091657810232,
34.0,Übrigens:,Extra tip:,Zusätzlicher Tipp:,-1.1796019077301025,0.15398347896542594,15.398347896542594,
35.0,Heiß!,Hot!,Heiß ist heiß!,0.8658549785614014,0.9721643608146039,97.21643608146039,
36.0,Aber jetzt nicht mehr.,But not any more,Aber nicht mehr so,-0.16125650703907013,0.5613207069209131,56.132070692091304,
